,CB:const,LO1:amp,LO1:fwhm,LO1:pos,LO1:area,LO2:amp,LO2:fwhm,LO2:pos,LO2:area,LO3:amp,LO3:fwhm,LO3:pos,LO3:area,LO4:amp,LO4:fwhm,LO4:pos,LO4:area,LO5:amp,LO5:fwhm,LO5:pos,LO5:area,LO6:amp,LO6:fwhm,LO6:pos,LO6:area,LO7:amp,LO7:fwhm,LO7:pos,LO7:area,LO8:amp,LO8:fwhm,LO8:pos,LO8:area,LO9:amp,LO9:fwhm,LO9:pos,LO9:area,LO10:amp,LO10:fwhm,LO10:pos,LO10:area,LO11:amp,LO11:fwhm,LO11:pos,LO11:area,LO12:amp,LO12:fwhm,LO12:pos,LO12:area,LO13:amp,LO13:fwhm,LO13:pos,LO13:area,LO14:amp,LO14:fwhm,LO14:pos,LO14:area,LO15:amp,LO15:fwhm,LO15:pos,LO15:area,LO16:amp,LO16:fwhm,LO16:pos,LO16:area,LO17:amp,LO17:fwhm,LO17:pos,LO17:area,LO18:amp,LO18:fwhm,LO18:pos,LO18:area,LO19:amp,LO19:fwhm,LO19:pos,LO19:area,LO20:amp,LO20:fwhm,LO20:pos,LO20:area,LO21:amp,LO21:fwhm,LO21:pos,LO21:area,LO22:amp,LO22:fwhm,LO22:pos,LO22:area
Aufgabe5.5-zirkulaer-10A.dat,14198.9405214,24078.9308636,24.447342864,45.3352633906,900160.623118,22812.8181265,26.3893152443,84.7444254407,920552.043483,30684.448129,83.4673964201,239.378871851,3916393.59458,28675.087453,73.306709667,348.696232614,3214324.84408,21446.0166097,23.7751330464,507.033973065,779687.80573,20692.8994722,19.3350675653,544.6851603,611812.280348,19568.1418727,17.2780317343,617.12206326,517005.310136,20072.4126361,18.1245332607,642.532920704,556298.251574,15163.2486069,17.0783246504,697.134596958,395994.057253,14698.3625995,13.3687742952,718.762183488,300470.496908,13890.3373011,15.1230275407,764.192041899,321220.077794,12308.5161921,13.0897194183,782.646958041,246369.638761,13423.4582742,14.6702361693,822.956719285,301122.224235,12051.2026968,11.9991969496,839.158512645,221117.879053,11506.5557013,13.9441731714,875.277549563,245346.235575,10555.7775173,11.6427579208,890.406058039,187930.488934,11537.8436144,14.0531079792,923.500749934,247940.903472,9707.80431079,11.4097353992,937.372493204,169370.540425,10590.9318019,14.3111963642,968.554285769,231766.893287,8446.51969623,9.70453730112,981.633862672,125341.220668,10166.7646967,14.7001391142,1010.29926734,228531.202058,8976.35775274,11.300697261,1023.05275904,155115.980226
Aufgabe5.5-zirkulaer-12A.dat,14839.0008556,25508.2533856,24.4351105175,42.753141253,953095.276316,23533.7340916,26.717969216,87.7695143812,961469.637876,31542.9004782,77.9049978141,229.520038752,3757579.97317,29239.8554082,74.0785116022,356.933998061,3312140.53424,22394.8767969,23.5071429915,503.810124588,805007.033028,21218.6446899,19.6766728068,547.218128664,638426.038555,18883.9769264,18.1134408361,614.990260812,523040.965724,21581.1331121,17.578268324,644.351232071,580084.979363,15530.7433231,17.7122508271,694.994453683,420636.817539,14691.3218633,14.1009849315,720.193924978,316782.71018,14608.818055,14.3773745559,762.902214684,321170.726662,13128.508298,12.8757592157,784.336135455,258481.530556,13471.5314551,14.2429457874,821.525158659,293398.627451,12720.3813268,12.6792038769,840.244147128,246622.901513,11600.7952896,13.1624411573,874.204741327,233488.498836,11209.5876032,12.2564192989,891.567863794,210089.522182,11206.6970533,13.4971314071,922.49587568,231291.884809,10165.1940208,11.3671587148,938.550623014,176692.755771,10363.4334763,13.1805935315,967.05810444,208871.852411,9254.11080623,11.7607436194,982.566749573,166425.789514,10247.1610464,13.6367093755,1009.27011966,213675.3548,9105.00962872,10.187258185,1023.02623889,141833.561883
Aufgabe5.5-zirkulaer-14A.dat,15703.1096624,27229.9621869,25.2318908446,39.6127837766,1050601.75644,24808.1195781,27.7961430838,91.7656689456,1054434.65813,33247.9563531,72.8771715533,219.297926765,3705081.38186,29497.3295318,73.9846871175,368.113551641,3337073.93304,23902.3389015,23.7877920705,499.960294712,869432.400227,21790.6775339,19.712116465,550.371080713,656833.263515,19311.1820279,19.1035158836,612.274597469,564109.545252,22887.5153281,17.5370717702,646.917706574,613757.786071,16791.9248437,17.7365085922,692.507956269,455417.696714,15796.0782191,13.9478837437,722.160315694,336898.348124,15148.9642712,14.0728899745,761.163238193,325992.43405,14358.8244747,12.602543259,785.681536774,276705.868904,14163.9453089,13.6096778319,819.598674993,294763.274867,13751.6586455,12.4754631927,841.599020013,262333.07485,12195.4389194,12.1941176465,872.807577648,227404.452654,12112.8983863,11.8657772772,892.717325104,219783.666561,11349.1616297,14.2462985718,920.923130054,247233.382218,10969.2864807,11.294310553,939.576387224,189447.662902,10362.6247315,12.0648841529,965.730372716,191176.371415,9978.02940661,11.6711286332,983.516682691,178077.390571,10503.5748577,13.4392861864,1008.18072481,215856.17904,10901.1849887,10.3088143269,1025.05042597,171839.78244
Aufgabe5.5-zirkulaer-16A.dat,15625.0480157,25754.0611975,24.9951798462,37.4583138899,984358.140681,23497.9139411,27.9247058829,94.8140664828,1003365.59139,31025.6976552,70.2891317961,212.859545488,3334655.86886,27158.963271,72.7697788045,375.734966018,3022077.02831,23133.7710072,23.0444921794,497.572863091,815182.525937,20378.4610223,19.8445566978,552.381988688,618378.059252,17589.7366382,19.3291704038,610.082148833,519904.647662,22399.2769067,16.987152281,648.414254814,581829.672372,15947.2232809,18.4824216728,690.770047342,450707.82407,14811.0934247,13.750441855,723.241810413,311426.039907,13924.4953829,13.7487906968,759.63149282,292742.146673,13381.8724621,12.9806072211,787.021597005,265615.35792,13256.5008494,14.0563886624,818.530987473,284933.785574,12612.7237276,12.2423962556,842.734729766,236116.568702,11323.044808,11.9231550172,871.485195264,206440.880833,11437.4546795,12.3265730876,893.851612845,215582.263958,10821.8224027,13.4408931259,919.911616721,222417.941698,10323.8726998,10.9969325691,940.299306165,173606.24786,9549.45187724,12.266071454,964.800167576,179116.288993,9482.60235603,11.5779415755,984.225296829,167884.283256,10116.3220732,13.573195737,1007.46518161,209964.584396,8611.12008543,6.69812226234,1023.15157829,88197.0386599
Aufgabe5.5-zirkulaer-18A.dat,19545.5998091,32327.1300289,26.6342943064,35.0379585447,1316587.20911,28911.6635621,29.8835850616,97.7339094935,1321134.59812,38067.4959212,71.4100122059,207.176786847,4156757.64573,33541.5160873,72.9389522669,382.880981587,3740963.72201,28624.2315081,24.0816679663,494.905729537,1054075.08438,24868.5400817,20.688846763,554.549350453,786733.893587,21813.188253,21.0946737915,607.840723046,703627.993391,29274.5644008,16.8206361808,650.088431961,752963.884665,19856.6555159,20.3659482515,688.718360733,618375.144006,18515.1468767,14.2888819606,724.736681288,404554.054525,17456.1375089,14.1627111928,758.295611729,378046.917621,17134.3853665,13.7520063536,788.269052238,360317.821128,16689.7962414,14.2486322809,817.391365404,363643.108217,16076.8629846,12.4405406008,843.945714162,305831.243476,13870.7641562,13.1755511887,870.523399837,279454.088094,14624.4306431,13.3042408484,894.98195213,297522.77328,13722.4593604,12.5651726834,918.883246546,263664.440973,13380.2764905,11.8223958999,941.322202344,241892.127566,12242.1110834,12.5315699522,963.822231046,234591.864305,12296.4720738,11.1493193506,985.094344632,209642.83834,12395.0080098,14.8736880592,1006.11439118,281907.589307,11943.9032485,8.94607238313,1024.8670095,163391.640208
Aufgabe5.5-zirkulaer-20A.dat,16415.5747692,29278.9534374,28.5737767297,33.3989505447,1279276.6795,26068.6788304,31.7530701788,99.8736400505,1265744.45026,33983.9045258,73.4167489121,203.685313531,3815133.24926,30124.0222037,76.4058950793,387.064249267,3519501.16982,25517.2148314,24.8136539916,493.737671266,968200.447653,22348.9689462,22.0245934669,555.797554889,752690.684174,19655.9698189,22.4291490396,606.46672166,674152.922263,26533.1935436,17.0433903637,650.666820466,691507.132825,18369.6637352,22.2404631435,687.225344515,624721.30989,16421.4589604,14.9755113866,725.565917366,376040.557661,15242.8346052,15.7590326058,757.427015707,367321.576296,15428.9874302,15.0352183146,789.018814994,354722.26662,15195.2781174,14.8959762931,816.746305052,346113.797903,14382.0180419,13.3650099204,844.349254023,293920.854646,13072.202118,13.6670568991,869.759614381,273196.357492,13353.4472932,13.9754708621,895.481398455,285371.759942,12114.2798772,14.2718003242,918.467858092,264373.335846,12072.7765986,12.2877834596,942.167052394,226841.233824,11038.7636633,13.6682776462,963.469771456,230714.831768,11315.1616088,12.1197527756,985.426655755,209698.73433,11132.9839363,15.0482865172,1005.83726141,256182.690216,11934.9463855,9.76245161138,1025.3616938,178168.332191
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
